"period","searchVolume"
"2021-06-12","4810"
"2021-06-13","5060"
"2021-06-14","3990"
"2021-06-15","3850"
"2021-06-16","3730"
"2021-06-17","3680"
"2021-06-18","3470"
"2021-06-19","4130"
"2021-06-20","4160"
"2021-06-21","3700"
"2021-06-22","3670"
"2021-06-23","3390"
"2021-06-24","3940"
"2021-06-25","4170"
"2021-06-26","4440"
"2021-06-27","4580"
"2021-06-28","4030"
"2021-06-29","3900"
"2021-06-30","3810"
"2021-07-01","4110"
"2021-07-02","3690"
"2021-07-03","4400"
"2021-07-04","4370"
"2021-07-05","3630"
"2021-07-06","3580"
"2021-07-07","3460"
"2021-07-08","3360"
"2021-07-09","3150"
"2021-07-10","3860"
"2021-07-11","4120"
"2021-07-12","3510"
"2021-07-13","3760"
"2021-07-14","4280"
"2021-07-15","3920"
"2021-07-16","3920"
"2021-07-17","4290"
"2021-07-18","4480"
"2021-07-19","3790"
"2021-07-20","3820"
"2021-07-21","4160"
"2021-07-22","4230"
"2021-07-23","3820"
"2021-07-24","4370"
"2021-07-25","4390"
"2021-07-26","3340"
"2021-07-27","3610"
"2021-07-28","3570"
"2021-07-29","3590"
"2021-07-30","3170"
"2021-07-31","4010"
"2021-08-01","3600"
"2021-08-02","3160"
"2021-08-03","3190"
"2021-08-04","3430"
"2021-08-05","3520"
"2021-08-06","3640"
"2021-08-07","3890"
"2021-08-08","3330"
"2021-08-09","2720"
"2021-08-10","2870"
"2021-08-11","3470"
"2021-08-12","3480"
"2021-08-13","3340"
"2021-08-14","3300"
"2021-08-15","3350"
"2021-08-16","3170"
"2021-08-17","2620"
"2021-08-18","2890"
"2021-08-19","2700"
"2021-08-20","2400"
"2021-08-21","2970"
"2021-08-22","3070"
"2021-08-23","2750"
"2021-08-24","2480"
"2021-08-25","2500"
"2021-08-26","2420"
"2021-08-27","2620"
"2021-08-28","2860"
"2021-08-29","3140"
"2021-08-30","2670"
"2021-08-31","2750"
"2021-09-01","2700"
"2021-09-02","2570"
"2021-09-03","2550"
"2021-09-04","2990"
"2021-09-05","3260"
"2021-09-06","2660"
"2021-09-07","2730"
"2021-09-08","2460"
"2021-09-09","2620"
"2021-09-10","2740"
"2021-09-11","2910"
"2021-09-12","3590"
"2021-09-13","3000"
"2021-09-14","2980"
"2021-09-15","2780"
"2021-09-16","2540"
"2021-09-17","2340"
"2021-09-18","2600"
"2021-09-19","2460"
"2021-09-20","2130"
"2021-09-21","1940"
"2021-09-22","2820"
"2021-09-23","2660"
"2021-09-24","2500"
"2021-09-25","2970"
"2021-09-26","3000"
"2021-09-27","2510"
"2021-09-28","2550"
"2021-09-29","2380"
"2021-09-30","2300"
"2021-10-01","2460"
"2021-10-02","2860"
"2021-10-03","3070"
"2021-10-04","3390"
"2021-10-05","2510"
"2021-10-06","2650"
"2021-10-07","2510"
"2021-10-08","2420"
"2021-10-09","2640"
"2021-10-10","3000"
"2021-10-11","2660"
"2021-10-12","2420"
"2021-10-13","2260"
"2021-10-14","2330"
"2021-10-15","2470"
"2021-10-16","2140"
"2021-10-17","1760"
"2021-10-18","1760"
"2021-10-19","1690"
"2021-10-20","1670"
"2021-10-21","1580"
"2021-10-22","1530"
"2021-10-23","1790"
"2021-10-24","1740"
"2021-10-25","1630"
"2021-10-26","1620"
"2021-10-27","1700"
"2021-10-28","1830"
"2021-10-29","1640"
"2021-10-30","1700"
"2021-10-31","1980"
"2021-11-01","1780"
"2021-11-02","1600"
"2021-11-03","1690"
"2021-11-04","1680"
"2021-11-05","1630"
"2021-11-06","1790"
"2021-11-07","1970"
"2021-11-08","1680"
"2021-11-09","1600"
