,상품이름,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10 (예측)
52,딥디크플레르드뽀,15330,17180,21610,18140,17330,18350,22380,18970,20480,21980,24810,30480,24960,30620,33720,51280,37400,35450,39590,36120,36330,47320,57780,44580,43900,51540,48610,44250,39100,33530,39780,40820,39470,51990,48680,44480
53,바이오더마클렌징워터,47850,42630,46560,49350,36860,35690,32970,32900,30230,29760,28140,26150,33530,27420,25730,23030,26800,29210,25410,28120,22700,22780,24090,21140,26250,23040,24310,22600,24290,25310,28640,29670,27080,26200,28090,19860
54,헤라썬크림,14830,15090,15790,15940,24550,26580,29110,19970,15030,11790,9700,12980,11880,11410,12340,13820,24360,28320,25480,22990,20230,15960,12210,14710,15800,15340,18410,27610,32170,42560,50400,35320,31830,24510,22560,23000
55,여성청결제,39820,43070,50390,50840,61830,56300,52080,46970,48410,53600,60430,53790,57830,65970,62500,48030,50220,47320,46740,47250,50990,52770,47460,47040,45360,44560,52240,54190,47730,45190,44630,49450,69520,46640,40490,45450
56,닥터지수분크림,31630,33390,33970,27470,24950,26150,33730,29870,31350,24200,23450,30010,29210,28270,26910,27730,29720,29080,28950,33280,26450,27660,27760,29810,32480,33860,35830,32040,28810,38210,47720,44320,35220,31440,35440,29740
57,일리윤세라마이드아토로션,36420,31960,32680,30530,31710,5390,8570,14320,13710,14340,23040,38920,45070,48360,39390,29260,29740,29740,24620,21150,17410,18670,22610,30330,33380,34250,41620,38240,31170,26230,26870,21260,16520,16420,21510,35390
58,카밀핸드크림,55440,63700,37830,40150,36260,35370,21630,12620,11740,11680,27780,55030,64160,83950,54100,35890,27650,27170,22090,13540,10630,14970,25100,46210,60620,72010,56050,43420,31700,26150,24860,16940,11380,15920,24550,40770
59,가희,17550,18160,19220,22860,2966810,97180,20140,17140,16770,19760,18180,16050,11800,14330,19390,23560,24110,20790,49820,116280,65410,106550,79280,71730,46750,184830,207510,145680,118560,87320,57270,35300,29280,43640,30980,53210
60,조말론향수,105050,130260,124000,117260,126030,107330,133580,100780,105590,109380,111890,110370,110220,135090,106860,114070,117710,105430,113710,94470,116190,109040,126990,116250,117910,146950,125960,139250,112980,104620,147040,116000,108680,119690,116990,102270
61,세타필로션,45760,44860,33820,36130,36730,31850,25040,18150,17140,16070,31720,49490,47910,49900,44090,29900,27170,23750,24750,16230,14020,16490,21750,35600,40690,37990,43190,35230,30310,25520,27610,20600,14780,15700,22070,23870
62,닥터그루트샴푸,6920,11650,10830,14880,15050,32070,59630,146560,145340,133370,151350,202060,146530,130120,134310,92670,97700,94030,93020,95800,88940,91680,89510,85080,79280,64500,61510,45200,69480,36720,56910,59880,46610,56370,41290,39900
63,속눈썹펌,62020,92080,84940,88820,74440,69430,87870,89570,107730,124120,98420,95360,90370,91110,105470,113480,110760,102080,111360,113550,131250,134360,125550,124130,118710,129860,146630,167310,156740,152890,163650,160430,186560,184940,145750,133740
64,에스트라아토베리어365크림,3100,4160,4440,3510,3480,3380,1540,1310,2340,2580,7020,12030,135900,26340,22990,19420,14980,13730,13740,11590,12080,11170,15740,17330,32200,28730,32930,36900,27710,25890,28170,23930,19130,21650,31570,28010
65,라보에이치샴푸,0,0,0,40,1760,9310,15130,13610,21880,17770,15590,14760,27260,30640,27050,21560,36300,30530,68280,74110,58230,51340,45540,48340,44850,40800,50500,58780,56910,43690,42260,49560,44580,46820,43780,37920
66,라로슈포제시카플라스트밤b5,30790,30790,39760,37950,51720,39730,34980,22180,19140,20990,27790,31500,37180,31220,30500,24220,27270,21110,19370,22200,15810,19460,27060,27370,28320,28570,31800,26480,26210,22590,21070,20890,19100,22140,28330,27500
67,라네즈네오쿠션,0,0,0,0,0,40,840,167160,198180,93920,43480,28110,31770,25800,28100,24350,27330,32200,110270,96920,105490,60260,54680,62530,49300,36030,33820,39370,42600,46320,79170,89410,89260,75670,71230,37880
68,설화수탄력크림,24560,26640,28990,20110,18360,21210,20950,11410,13640,12620,24470,26890,25190,27690,30480,26190,22360,22830,21600,13090,11150,15260,23570,21070,25270,30090,35800,28350,26600,28630,32940,20030,17640,24160,29260,31430
69,헤라블랙파운데이션,60610,44570,53370,44960,28070,21840,29130,29250,29320,28800,18050,20580,20880,16640,20050,28580,33310,25960,22550,17900,17450,21250,18210,19110,21190,21090,24240,23660,20270,25750,28360,19840,15920,13720,12210,10410
70,센카퍼펙트휩,21070,25510,30460,28350,30950,28320,30090,29770,33280,26770,28790,20930,23520,24750,24720,19490,22450,20790,25840,26310,26570,29030,25340,20920,20690,22380,21880,22810,22900,21740,28340,29320,29010,27060,27610,17760
71,해피바스바디워시,16890,14960,16490,19670,22720,19430,20460,21480,20950,23390,19010,15490,15980,17210,17780,14930,16400,16380,17440,19730,22900,20680,16600,16330,14930,14860,17100,16440,17630,18710,23190,28180,32030,32270,24800,23730
